goodinfo,condemn,qAnswered,totalCorrect,percCorrect,ansall,dowork,doromantic,doacademic,dodrugs,trustswork,trustsromantic,trustsacademic,trustsdrugs,trustgwork,trustgromantic,trustgacademic,trustgdrugs,likework,likeromantic,likeacademic,likedrugs,compq1work,compq1romantic,compq1academic,compq1drugs,compq2work,compq2romantic,compq2academic,compq2drugs,compq3work,compq3romantic,compq3academic,compq3drugs,compq4work,compq4romantic,compq4academic,compq4drugs,sumdo,sumtrusts,sumtrustg,sumlike,sumtotal,age,gender,edu,income,generaltrust,reason,previousexperience
1,1,16,16,1,1,1,1,2,1,7,7,5,7,7,6,6,5,6,7,3,6,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,6.75,6.5,6,5.5,6.1875,23,1,6,7,5,"Just based on the morality of it all. If they do something horrible, I acted as such, but they were all noble.",1
0,0,4,3,0.75,0,,,,4,,,,4,,,,4,,,,4,,,,1,,,,1,,,,1,,,,2,4,4,4,4,4,,1,,,,,
1,1,16,16,1,1,4,4,4,5,5,5,6,5,6,5,5,4,5,5,6,4,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,3.75,5.25,5,5,4.75,28,1,4,4,4,All the situations were very similar but for some reason I didn't trust the people as much in some situation as I did the others.,1
0,0,4,4,1,0,,,4,,,,4,,,,4,,,,4,,,,1,,,,1,,,,3,,,,2,,4,4,4,4,4,,1,,,,,
0,1,16,16,1,1,1,1,1,2,6,7,7,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,6.75,6.5,6,6,6.3125,24,1,6,4,6,I imagined myself in the scenarios and used my personal experiences to form my opinions.,1
1,1,16,16,1,1,1,1,1,1,7,7,7,7,6,7,6,5,7,7,5,5,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,7,7,6,6,6.5,24,2,5,4,6,"I made my judgments based upon how strongly I felt about the situations and how I felt about the gossip factor of the information with which I was presented. For example, I don't generally engage in gossiping, but if I found out important information about someone through a piece of gossip, then I wouldn't disregard it. However, I would also keep in mind the person who shared the information and whether or not they had a personal vendetta against the person being gossiped about.",1
0,0,16,16,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4,4,4,4,4,22,1,5,3,3,All the characters I was asked to make judgements about had little to do with the stories presented. I could not make any sort of reliable judgement about them.,1
0,1,16,16,1,1,2,2,3,3,6,6,5,5,5,6,5,5,5,6,5,5,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,5.5,5.5,5.25,5.25,5.375,24,1,5,1,5,based on their disapproval,1
1,0,16,16,1,1,2,2,2,3,4,6,5,6,5,5,5,5,4,5,4,4,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,5.75,5.25,5,4.25,5.0625,23,1,5,5,2,I based my judgments on their reputations as heard from others,4
1,0,4,2,0.5,0,2,,,,6,,,,5,,,,4,,,,2,,,,3,,,,1,,,,2,,,,6,6,5,4,5.25,,2,,,,,
1,1,16,16,1,1,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,6.25,5,5,5,5.3125,24,1,5,7,5,I based it on the things I was told about each person.,1
1,0,16,16,1,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,6,5,5,5,5.25,32,2,5,7,4,"Based on the fact that both of the people on my team demonstrated (vouched for or showed disapproval for poor behavior) similarly held beliefs to my own, I would pretty much trust them equally. But since my knowledge about them is limited, I can't give them the highest or the lowest marks.",2
1,1,16,16,1,1,1,1,1,1,6,6,6,6,6,6,6,6,4,4,4,4,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,7,6,6,4,5.75,27,2,5,3,5,I took the information I was given at face value and made judgments with the assumption that the facts in the stories were true.,3
1,1,16,16,1,1,1,1,1,1,6,6,6,6,5,6,6,6,5,6,6,6,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,7,6,5.75,5.75,6.125,22,1,4,4,4,"I made my judgements based on whether I found the decision, that the member of my group made, ethical.",3
1,0,16,16,1,1,2,2,3,6,6,6,5,5,4,5,5,5,5,7,5,5,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,4.75,5.5,4.75,5.5,5.125,26,1,5,5,7,Based upon previous behaviors of the example people.,1
0,1,16,16,1,1,3,1,2,1,4,7,5,6,5,6,5,5,4,6,4,5,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,6.25,5.5,5.25,4.75,5.4375,34,1,2,4,3,"I based my judgements on the person's reaction, and how subjective or objective that reaction was.  For example, there was no disapproval of failing to meet the business deadline; it was simply a stated fact.  However, there was great disapproval stated with regard to cheating in a relationship; likely a projection of self-imposed beliefs.",1
0,0,4,4,1,0,,4,,,,4,,,,4,,,,4,,,,1,,,,1,,,,3,,,,2,,,4,4,4,4,4,,1,,,,,
1,0,16,16,1,1,2,2,2,2,7,7,7,7,6,6,6,7,6,6,6,6,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,6,7,6.25,6,6.3125,29,1,4,5,5,I read them and answered truthfully.,3
0,0,16,16,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4,4,4,4,4,29,2,4,6,5,"I felt like I didn't know enough about the person, so I just made a neutral judgement.",1
1,1,12,11,0.916666686534882,0,,1,1,1,,4,4,6,,4,5,5,,6,5,5,,2,1,2,,1,1,1,,3,3,3,,1,1,1,7,4.66666650772095,4.66666650772095,5.33333349227905,5.41666650772095,,2,,,,,
1,0,16,16,1,1,2,2,4,3,5,4,5,4,4,4,4,4,4,4,4,4,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,5.25,4.5,4,4,4.4375,25,2,5,6,4,I thought I didn't know enough about the people and generally put them about middle,1
0,0,16,15,0.9375,1,1,1,2,1,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,6.75,6,6,6,6.1875,,1,,,,,
1,1,16,16,1,1,2,3,2,2,6,5,6,6,5,4,6,5,5,5,6,6,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,5.75,5.75,5,5.5,5.5,23,1,6,2,5,"The scenarios were generally the same but some issues are more objective (cheating in sports, tests) than others. Relationships and work are fairly private and life changing, so people should be more careful gossiping about thsoe topics.",1
0,1,16,16,1,1,2,2,3,3,6,5,5,4,5,5,5,4,3,3,4,3,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,5.5,5,4.75,3.25,4.625,38,1,4,5,5,"Having limited options in the answer categories, I felt forced to make the leap between having heard somebody had done something to having accepted they had done it as fact. The other available options would completely dissociate the person with the action so I picked the one that was closest to what I would have actually thought, even though the likelihood that the gossip was true was small.",2
0,1,16,16,1,1,1,7,1,1,6,6,6,6,6,6,6,6,7,6,6,6,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,5.5,6,6,6.25,5.9375,49,2,4,8,6,I made my judgments based on the statements and feelings expressed by the characters in the various scenarios.,1
1,1,16,16,1,1,2,2,2,3,6,6,7,6,6,6,6,5,4,5,6,5,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,5.75,6.25,5.75,5,5.6875,46,1,6,3,5,"Whilst each scenario basically described the same situation, the context conjured up distinct stereotypical images in my mind of what the people being described were like, ans so I based my ratings on the gut feelings I had about the stereotypes I was holding in my mind. I found that I naturally had different assumptions about a walker as against a business partner, for example.",2
0,1,16,16,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,4,4,4,4,4,42,1,6,7,4,"In each scenario, I didn't know enough about any character to make any sort of decision really.  I answered them all down the middle.  Each scenario involved a lack of direct knowledge and hearsay.",3
0,0,16,16,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4,4,4,4,4,25,1,4,6,5,"I didn't know much at all about the people I was asked trust-related questions about, so I felt very neutral.",1
1,0,16,16,1,1,2,2,2,2,6,5,6,6,5,5,5,5,5,5,5,5,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,6,5.75,5,5,5.4375,25,1,6,2,6,I based my judgments on the previous information I was given about each of the people.,1
0,0,16,16,1,1,3,3,4,3,4,3,4,4,4,4,4,4,4,5,5,5,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4.75,3.75,4,4.75,4.3125,40,2,5,6,5,"I was taking into account the situation, if it was work or a social setting. The fact that I don't trust people too much also had to do with my answers.",1
0,1,12,11,0.916666686534882,0,,2,3,2,,4,4,5,,5,4,5,,4,3,4,,1,1,1,,1,1,1,,3,3,2,,1,1,1,5.66666698455811,4.33333349227905,4.66666650772095,3.66666674613953,4.58333349227905,,1,,,,,
1,0,16,16,1,1,4,2,4,3,5,5,5,6,4,5,4,4,4,5,4,5,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,4.75,5.25,4.25,4.5,4.6875,33,1,6,9,4,"Imagining myself in the position, having the conversations, and evaluating the contexts of the judgments. Plus a good helping of gut instinct based on human nature.",2
0,0,16,16,1,1,4,3,4,3,5,5,5,7,5,5,5,6,5,5,5,5,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4.5,5.5,5.25,5,5.0625,36,1,4,1,5,"For the most part, I based them upon my own experiences with people. I think people are generally trustworthy, and I give strangers a small amount of trust when I meet them, in order to facilitate more healthy interpersonal relationships. I judged the likeliness of people to make dishonest decisions upon my personal perceptions of the situations.",1
1,1,16,16,1,1,3,2,4,3,6,5,5,6,6,6,6,5,6,6,5,6,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,5,5.5,5.75,5.75,5.5,21,1,4,2,6,I made my judgements based on the context it was taken. I made decisions depending on how morally wrong I thought the topics were.,3
0,0,16,16,1,1,2,2,3,2,6,5,5,6,6,6,5,6,5,6,4,6,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,5.75,5.5,5.75,5.25,5.5625,36,1,2,4,6,"I had no useful information on the person I was being asked about, so I guessed.",1
0,1,16,16,1,1,3,3,4,1,3,4,2,2,3,2,2,2,2,3,2,2,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,5.25,2.75,2.25,2.25,3.125,22,1,5,2,5,I simply used my own moral compass as a guide to judge others.,1
1,0,8,7,0.875,0,4,,,7,1,,,1,4,,,1,7,,,4,2,,,2,2,,,1,3,,,3,2,,,2,2.5,1,2.5,5.5,2.875,,2,,,,,
0,0,16,16,1,1,3,3,3,4,5,5,5,5,5,4,5,5,5,4,5,5,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4.75,5,4.75,4.75,4.8125,25,1,5,6,5,I try to be fair and trusting towards those I know nothing about.,2
1,0,16,16,1,1,2,2,2,2,7,6,5,6,6,5,4,6,6,6,6,6,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,6,6,5.25,6,5.8125,32,1,2,4,3,I just went with my gut feelings for these people that I know nothing about.,3
1,1,16,16,1,1,2,2,4,1,5,3,4,6,5,4,4,5,4,4,3,5,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,5.75,4.5,4.5,4,4.6875,23,1,2,2,4,I read the stories and responded appropriately.,5
0,1,4,3,0.75,0,,,,4,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,4,1,1,1,1.75,,1,,,,,
0,1,16,16,1,1,2,1,1,1,4,5,5,5,4,5,3,4,3,5,3,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,6.75,4.75,4,3.75,4.8125,22,2,4,2,6,Based on the characters actions and behaviors.,1
1,1,16,16,1,1,2,2,2,1,6,6,6,6,5,5,5,5,5,6,5,5,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,6.25,6,5,5.25,5.625,26,2,4,4,6,"I tend to trust people overall. I don't like that the ""honest"" characters in the stories were spreading rumors about other people, though.",2
0,0,16,16,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4,4,4,4,4,24,2,5,8,5,I could not judge the person at the last few questions on each page because I had so little information on them and more about other people mentioned. I just had to stay in between.,1
1,1,4,3,0.75,0,,,,4,,,,4,,,,4,,,,4,,,,1,,,,1,,,,3,,,,1,4,4,4,4,4,,2,,,,,
1,0,16,16,1,1,2,2,2,2,6,5,6,6,5,5,5,5,6,6,6,6,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,6,5.75,5,6,5.6875,26,2,4,2,6,I trusted what was being said about people.  I assumed it was someone who knew the person being discussed well enough to know whether it was true or not.,1
1,0,16,16,1,1,2,3,2,1,7,7,7,7,7,6,7,6,6,7,5,6,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,6,7,6.5,6,6.375,32,1,3,1,2,"Just reading what the information about the people in the stories, and using basic judgement.",4
0,0,16,16,1,1,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4,3.25,4,4,3.8125,49,2,6,6,4,"If I do not know how the persons perform e.g. as partners, and if I do not know much about the persons, then I cannnot like or dislike them.  I have to meet and maybe work with the person to make a judgment about her/his character and attributes.",1
0,0,16,16,1,1,3,4,4,2,5,3,4,4,5,2,3,5,4,3,3,5,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4.75,4,3.75,3.75,4.0625,30,1,5,6,5,I based it off first impression type analysis and I think that people who are under the radar will act different.,1
1,1,16,16,1,1,6,2,2,2,6,5,4,5,4,4,4,4,4,5,5,5,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,5,5,4,4.75,4.6875,38,2,4,9,5,None,1
0,1,16,16,1,1,3,3,3,2,4,4,4,4,4,5,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,5.25,4,4.25,4,4.375,18,2,2,1,4,"I thought there wasn't enough information to really tell if I would like someone or if they were trustworthy from one example, so I thought they were all pretty much average. Since they showed strong disapproval, they'd be less likely to do something wrong, but they could just be pretending to be disapproving.",1
1,0,16,16,1,1,2,2,1,1,6,6,6,6,6,6,6,6,6,5,5,6,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,6.5,6,6,5.5,6,20,2,4,6,5,I listened to the gossip.,1
1,1,16,16,1,1,2,2,2,2,6,5,7,6,5,3,5,4,4,4,4,4,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,6,6,4.25,4,5.0625,27,1,2,5,6,I imagined myself in those situations and compared them to previous interactions of similar situations,1
1,0,16,16,1,1,4,4,4,4,6,5,6,5,5,5,5,5,4,4,5,4,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,4,5.5,5,4.25,4.6875,29,1,4,7,5,"I tried going in with the information I was provided, which was very little, so I gave everyone the benefit of the doubt, though some of the negative speculation influenced my decisions.",1
0,1,16,16,1,1,1,1,1,1,7,7,7,7,5,6,6,5,5,5,4,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,7,7,5.5,4.5,6,28,1,2,4,5,Based them if i were in their position,3
0,0,16,16,1,1,4,3,3,3,4,5,4,4,4,5,4,4,4,5,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4.75,4.25,4.25,4.25,4.375,32,1,5,6,5,I just went by the information that was presented. I tried not to sway one way or the other based on what I was given.,1
0,0,16,16,1,1,3,4,3,3,5,4,4,6,3,3,3,3,5,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4.75,4.75,3,4.25,4.1875,41,2,2,5,5,I was thinking while not trusting completely I would give them a chance to prove themselves.,2
0,1,16,16,1,1,2,1,2,1,6,7,5,6,6,7,6,6,5,7,5,5,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,6.5,6,6.25,5.5,6.0625,21,1,4,6,4,I made them based on  past experiences.,4
0,1,16,16,1,1,2,5,2,3,5,2,5,5,5,3,5,5,5,3,4,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,5,4.25,4.5,4,4.4375,24,2,6,2,5,Based on person's reacion and history.,1
1,1,16,16,1,1,2,2,2,2,6,5,5,6,5,5,5,5,5,5,5,5,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,6,5.5,5,5,5.375,35,1,6,1,4,"I looked at the trust factor to see if I would trust the people in the future. Past behavior, although not always, is a good indicator of future behavior. These past behavioral patterns were strong determinants in my judgements.",2
1,0,4,4,1,0,3,,,,6,,,,5,,,,4,,,,2,,,,1,,,,3,,,,2,,,,5,6,5,4,5,,1,,,,,
0,1,16,16,1,1,4,3,3,2,2,3,3,3,3,4,3,3,3,3,2,3,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,5,2.75,3.25,2.75,3.4375,25,2,4,1,5,"Based off of how quickly others were to gossip to me about an acquaintance of mine, they are probably people I wouldn't much care for.",1
0,1,16,16,1,1,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,4.25,3.25,3,3,3.375,50,1,5,2,6,"The stories were identical, essentially. In all three of my judgments I took into account that the person informing me could not be trusted with a secret.",1
0,0,16,16,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4,4,4,4,4,57,2,5,5,5,I did not want to be biased toward another partner based on what was told to me by one of the partners. I remained objective.,1
1,0,16,16,1,1,3,3,3,3,5,5,5,5,5,5,5,4,5,5,5,4,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,5,5,4.75,4.75,4.875,21,2,5,8,5,I judge people slightly but not entirely on what my friends say about them.,1
0,0,4,1,0.25,0,,,4,,,,3,,,,3,,,,2,,,,1,,,,2,,,,2,,,,1,,4,3,3,2,3,,1,,,,,
1,0,16,16,1,1,2,2,2,1,6,6,7,6,6,6,7,6,6,5,7,6,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,6.25,6.25,6.25,6,6.1875,20,1,4,5,6,Reading the available information,2
1,1,4,3,0.75,0,5,,,,4,,,,6,,,,5,,,,2,,,,1,,,,3,,,,3,,,,3,4,6,5,4.5,,1,,,,,
1,0,16,16,1,1,2,2,2,2,7,5,4,6,6,5,5,5,5,5,4,5,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,6,5.5,5.25,4.75,5.375,28,1,5,5,5,"I generally do put full trust in gossip and hearsay. I am slightly inclined to have my judgment colored by it, but I never assume that it's 100% accurate. Generally speaking, I straddle a line of ""giving the benefit of the doubt"" and ""entirely not trusting or expecting anything"".",1
0,1,16,16,1,1,1,1,1,1,6,6,7,7,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,7,6.5,6,6,6.375,22,1,4,1,5,"Someone who disapproves openly about immoral behavior is far less likely to engage in it, themselves",1
1,1,16,16,1,1,2,3,4,1,6,6,6,7,5,5,5,5,5,4,5,6,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,5.5,6.25,5,5,5.4375,32,1,2,1,5,I just read the paragraph. all answers were there,2
1,1,16,16,1,1,1,1,1,1,7,6,6,5,6,6,7,6,6,5,6,5,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,7,6,6.25,5.5,6.1875,20,2,4,1,6,"I based my judgments on the little information that was given to me, such as how the characters thought about the issue and how important the issue is. For example, cheating in a relationship is a much bigger deal to me than cheating on homework.",1
1,0,16,16,1,1,2,2,2,2,7,6,6,6,7,6,7,6,7,6,7,7,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,6,6.25,6.5,6.75,6.375,29,2,5,8,6,I judged based on the information in the story.,1
0,0,16,16,1,1,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4.25,4,4,4,4.0625,21,1,4,2,3,It was hard for me to do. I tried to put myself in the person's situation.,1
0,0,16,16,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4,4,4,4,4,29,2,5,8,4,"I could never make a judgement about the person I was asked about, so I chose the neutral answers.  The questions indicated that I gossiped with one person about another, then I was asked to make judgements about a third person that I had no information about.",1
1,1,16,16,1,1,1,1,1,1,6,6,6,7,4,7,6,7,5,6,6,6,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,7,6.25,6,5.75,6.25,18,1,2,1,3,I read the scenario and answered the questions accordingly.,1
0,1,16,16,1,1,2,7,6,3,3,3,2,2,2,2,2,3,2,2,1,3,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,3.5,2.5,2.25,2,2.5625,41,2,4,2,1,I read the stories and made a judgement based upon the reading,1
1,0,16,16,1,1,2,2,3,2,6,6,5,4,5,4,3,4,5,5,2,4,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,5.75,5.25,4,4,4.75,24,1,6,5,6,"I made my judgements mainly based on the subject matter, I trust someone in a relationship, because that can be difficult to do, but not cheating on a test is pretty damn simple. So it doesn't help him out much.",1
1,1,16,15,0.9375,1,1,2,2,1,6,5,5,6,5,5,6,5,3,4,5,4,2,2,2,2,1,2,1,1,3,3,3,3,1,1,1,1,6.5,5.5,5.25,4,5.3125,,1,,,,,
1,0,4,3,0.75,0,,,3,,,,6,,,,6,,,,4,,,,1,,,,1,,,,3,,,,2,,5,6,6,4,5.25,,1,,,,,
0,0,8,7,0.875,0,4,,,4,4,,,4,4,,,4,4,,,4,1,,,1,1,,,1,3,,,2,2,,,2,4,4,4,4,4,,1,,,,,
0,1,8,8,1,0,,1,,1,,1,,7,,1,,7,,1,,7,,1,,1,,1,,1,,3,,3,,1,,1,7,4,4,4,4.75,,1,,,,,
1,0,16,16,1,1,1,3,3,2,3,4,3,4,3,4,4,4,1,4,1,1,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,5.75,3.5,3.75,1.75,3.6875,30,1,4,1,1,"I read the stories. There was usually no strong personality qualifiers for the people.  /  / Person A allegedly didn't do a thing. I know nothing about Person B. B tells you a story about C doing a thing, and B disapproves. /  / It was hard to quantify A with so little data.",2
1,1,16,16,1,1,1,1,1,1,6,6,5,5,5,6,5,5,4,6,5,5,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,7,5.5,5.25,5,5.6875,23,1,5,2,5,I thoroughly read through the instructions and went with how i would feel put in that situation.,1
1,1,16,16,1,1,5,2,2,2,5,5,5,5,5,5,5,4,5,5,5,5,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,5.25,5,4.75,5,5,28,1,6,5,5,personal opinion,3
1,0,16,16,1,1,3,2,4,5,5,3,4,2,5,4,4,4,5,2,4,3,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,4.5,3.5,4.25,3.5,3.9375,22,1,4,8,3,I used my critical thinking skills.,1
0,1,16,16,1,1,5,3,3,3,3,5,3,5,4,6,4,5,2,6,4,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,4.5,4,4.75,4,4.3125,27,1,6,6,6,"If the situation was very gossipy and defamitory to others, I had a bad impression and wouldnt trust them with my own information.  In the last case of the guy who failed to meet a deadline, for example, he couldn't help it maybe, something could have come up.  In the part where the guy used steriods, well that was his own decision so I looked down on it more.",1
0,1,16,16,1,1,1,3,2,5,5,4,5,5,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,5.25,4.75,4,4,4.5,25,2,4,5,3,Personal opinion,2
0,0,16,16,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4,4,4,4,4,24,1,6,6,4,I just assumed they would be average,2
1,1,16,16,1,1,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,5,6,6,6,5.75,22,2,5,10,6,I judged people based on their past experiences.,1
0,0,16,16,1,1,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4.75,4,3.75,4,4.125,26,1,4,3,4,Most of the judgements made were on people that i didnt have much information to judge with and so they were mostly nuetral judgements,1
